metabolite name,namespace,values
2-deoxy-D-ribose,kegg.compound,s_0152=C01801; s_4165=C08347
D-Glucosamine,chebi,s_3953=CHEBI:47977; s_4164=CHEBI:58723
D-glucose 6-phosphate,chebi,s_0568=CHEBI:14314; s_4150=CHEBI:61548
D-mannose,chebi,s_0571=CHEBI:16024; s_0572=CHEBI:16024; s_3933=CHEBI:4208
D-mannose 1-phosphate,chebi,s_0573=CHEBI:35374; s_4156=CHEBI:58409
D-mannose 6-phosphate,chebi,s_0574=CHEBI:17369; s_3898=CHEBI:17369; s_4153=CHEBI:58735
S-adenosyl-L-methionine,chebi,s_1416=CHEBI:15414; s_1418=CHEBI:15414; s_1419=CHEBI:15414; s_3182=CHEBI:15414; s_3818=CHEBI:67040
adenosine 2'-phosphate,chebi,s_0389=CHEBI:28223; s_4162=CHEBI:77740
dUTP,chebi,s_0656=CHEBI:58212; s_4330=CHEBI:61555
ferrocytochrome b5,kegg.compound,s_3827=C00999; s_4209=C00996
potassium,chebi,s_1373=CHEBI:26216; s_1374=CHEBI:26216; s_3776=CHEBI:29103
potassium,metanetx.chemical,s_1373=MNXM77881; s_1374=MNXM77881; s_3776=MNXM95
propionyl-CoA,chebi,s_1382=CHEBI:57386; s_4183=CHEBI:57392; s_4252=CHEBI:57386
sodium,chebi,s_1437=CHEBI:26708; s_1438=CHEBI:26708; s_3775=CHEBI:29101
sodium,metanetx.chemical,s_1437=MNXM82334; s_1438=MNXM82334; s_3775=MNXM27
sulphite,chebi,s_1469=CHEBI:17137; s_1470=CHEBI:17137; s_4011=CHEBI:17359
thiosulfate,chebi,s_4010=CHEBI:33541; s_4113=CHEBI:33542; s_4159=CHEBI:33542
"trans-2,cis-9-octadecadienoyl-CoA",chebi,s_2897=CHEBI:15530; s_4190=CHEBI:57383
