id	name	bigg.metabolite	chebi	kegg.compound	metanetx.chemical	smiles
s_0001	(1->3)-beta-D-glucan	13BDglcn	CHEBI:37671	C00965	MNXM6492	C(C1C(C(C(C(O1)O)O)O)O)O
s_0002	(1->3)-beta-D-glucan	13BDglcn	CHEBI:37671	C00965	MNXM6492	C(C1C(C(C(C(O1)O)O)O)O)O
s_0003	(1->3)-beta-D-glucan	13BDglcn	CHEBI:37671	C00965	MNXM6492	C(C1C(C(C(C(O1)O)O)O)O)O
s_0004	(1->6)-beta-D-glucan	16BDglcn	CHEBI:27380	C02493	MNXM9375	C(C1C(C(C(C(O1)O)O)O)O)O
s_0006	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate	2ahhmd	CHEBI:57602	C04807	MNXM1160	C1C(=NC2=C(N1)N=C(NC2=O)N)COP(=O)(O)OP(=O)(O)O
s_0007	(2E)-3-(methoxycarbonyl)pent-2-enedioic acid	aconm	CHEBI:57470	C11514	MNXM3742	COC(=O)C(=CC(=O)O)CC(=O)O
s_0008	(2R,3R)-2,3-dihydroxy-3-methylpentanoate	23dhmp	CHEBI:49258	C06007	MNXM1202	CCC(C)(C(C(=O)[O-])O)O
s_0009	(2R,3S)-3-isopropylmalate	3c2hmp	CHEBI:35121	C04411	MNXM891	CC(C)C(C(C(=O)[O-])O)C(=O)[O-]
s_0010	(2S)-2-isopropyl-3-oxosuccinate	3c4mop	CHEBI:17214	C04236	MNXM1602	CC(C)C(C(=O)C(=O)O)C(=O)O
s_0011	(2S)-2-isopropyl-3-oxosuccinate	3c4mop	CHEBI:17214	C04236	MNXM1602	CC(C)C(C(=O)C(=O)O)C(=O)O
s_0012	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid	micit	CHEBI:57429	C04593	MNXM1694	CC(C(CC(=O)O)C(=O)O)(C(=O)O)O
s_0013	(5S,6S)-di-HETE		CHEBI:53026		MNXM31306	CCCCCC=CCC=CC=CC=CC(C(CCCC(=O)O)O)O
s_0014	(5S,6S)-di-HETE		CHEBI:53026		MNXM31306	CCCCCC=CCC=CC=CC=CC(C(CCCC(=O)O)O)O
s_0015	(N(omega)-L-arginino)succinic acid	argsuc	CHEBI:57472	C03406	MNXM722743	C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O
s_0016	(R)-2,3-dihydroxy-3-methylbutanoate	23dhmb	CHEBI:49072	C04272	MNXM114097	CC(C)(C(C(=O)[O-])O)O
s_0017	(R)-4'-phosphopantothenic acid	4ppan	CHEBI:15905	C03492	MNXM415	CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O
s_0018	(R)-5-diphosphomevalonic acid	5dpmev	CHEBI:57557	C01143	MNXM689	CC(CCOP(=O)(O)OP(=O)(O)O)(CC(=O)O)O
s_0019	(R)-5-phosphomevalonic acid	5pmev	CHEBI:58146	C01107	MNXM567	CC(CCOP(=O)(O)O)(CC(=O)O)O
s_0020	(R)-acetoin	actn__R	CHEBI:15686	C00810	MNXM664	CC(C(=O)C)O
s_0021	(R)-carnitine	crn	CHEBI:16347	C00318	MNXM173	C[N+](C)(C)CC(CC(=O)[O-])O
s_0022	(R)-carnitine	crn	CHEBI:16347	C00318	MNXM173	C[N+](C)(C)CC(CC(=O)[O-])O
s_0023	(R)-carnitine	crn	CHEBI:16347	C00318	MNXM173	C[N+](C)(C)CC(CC(=O)[O-])O
s_0024	(R)-carnitine	crn	CHEBI:16347	C00318	MNXM173	C[N+](C)(C)CC(CC(=O)[O-])O
s_0025	(R)-lactate	lac__D	CHEBI:16004	C00256	MNXM285	CC(C(=O)O)O
s_0026	(R)-lactate	lac__D	CHEBI:16004	C00256	MNXM285	CC(C(=O)O)O
s_0027	(R)-lactate	lac__D	CHEBI:16004	C00256	MNXM285	CC(C(=O)O)O
s_0028	(R)-mevalonate	mev__R	CHEBI:36464	C00418	MNXM333	CC(CCO)(CC(=O)[O-])O
